model,qps,gpu_False_p50,pim_False_p50,pim_True_p50,gpu_False_p90,pim_False_p90,pim_True_p90,gpu_False_p99,pim_False_p99,pim_True_p99,gpu_False_max,pim_False_max,pim_True_max
llama4,1.5,0.01484553308617345,0.004766699768390999,,0.01540057638530815,0.00487154367614607,,0.015602717328556637,0.0049521134084260015,,0.0156301338868414,0.0050119208250739,
llama4,2.0,0.01549096824514885,0.00479455335729825,,0.016376980134478733,0.00492495991565672,,0.016635062407648858,0.004988371761746597,,0.0167727634364984,0.0050512348855766,
llama4,2.5,0.0169806537473936,0.005065990769502,,0.01888368440762838,0.00524524143217276,,0.019200334950967957,0.005355709510162032,,0.0192181713800567,0.0054193640924925,
llama4,3.0,0.016738571542945252,0.00588583631367175,,0.01877221804570243,0.0061045224551936,,0.019470688292348597,0.006207491320190294,,0.0195219130210251,0.0063238167333881,
llama4,3.5,0.018569392106106,0.00559139239109655,,0.02016398846782531,0.00580362503054372,,0.020608906642612182,0.005928795145711679,,0.0207611661574577,0.006036456414147,
llama4,4.0,0.018649594390877752,0.00557457695067685,,0.02261429767167443,0.00601904890629927,,0.02339212672129031,0.0061430914045531105,,0.0235228549314971,0.0062815451586491,
llama4,4.5,0.020207403275274198,0.00505132381630705,0.00505638201398285,0.02629791157250318,0.00548504448899528,0.005455168152678671,0.027583670181220536,0.005637946738902691,0.005555315447914221,0.0276864958855324,0.0056714462752814,0.0055985854880648
qwen,1.5,0.012145874950001499,0.0060837107763189995,,0.012309109228162151,0.0062179740490003,,0.012378394915936826,0.006393434373225333,,0.0123916786630478,0.006587588265824,
qwen,2.0,0.01242285427376325,0.0067122823959421506,,0.012819718922566191,0.0069316810027253,,0.012919621412657751,0.007110536799381808,,0.0129864244045713,0.0072077154156057,
qwen,2.5,0.01208928004476365,0.0064089967483538,,0.01284377532831874,0.00698885310585747,,0.012975420201613694,0.007183741465388271,,0.0129920207517421,0.0073790419797582,
qwen,3.0,0.01347309283373925,0.00658899618023875,,0.014445666510091751,0.00720989700709452,,0.014928632006838579,0.007404301063687786,,0.0149650694795803,0.007599044063604,
qwen,3.5,0.014254562263540601,0.0069010380639239,,0.015764121762237363,0.00742487806836531,,0.016315432548740228,0.007628142238592077,,0.0163362540774665,0.0078162894072988,
qwen,4.0,0.01422696750984415,0.0068524025449443506,,0.01593275724668675,0.00776396940910787,,0.016802543882752152,0.007982810073533133,,0.0168318840550091,0.008175902944021,
qwen,4.5,0.0149458305547551,0.00746690877414,,0.0173093870360186,0.00807989117952247,,0.01820557016544615,0.008378505161654079,,0.0183388973991983,0.0086697509347393,
